ticker,isin,name,currency,sector,country
RU000A106TM6,RU000A106TM6,Банк ВТБ Б-1-343,RUB,Financial,Россия
RU000A10A7H3,RU000A10A7H3,СИБУР Холдинг 001Р-02,RUB,Energy,Россия
RU000A10BFG2,RU000A10BFG2,Атомэнергопром 001Р-05,RUB,Energy,Россия
RU000A1032P1,RU000A1032P1,СФО ВТБ РКС-1,RUB,Financial,Россия
RU000A10DPV6,RU000A10DPV6,АФК Система БО 002Р-07,RUB,Financial,Россия
RU000A10BNM4,RU000A10BNM4,АБЗ-1 002P-03,RUB,Industrials,Россия
RU000A10AC75,RU000A10AC75,Томская область 34072,RUB,Municipal,Россия
RU000A10A6J1,RU000A10A6J1,Томск 34009,RUB,Municipal,Россия
RU000A109PF2,RU000A109PF2,РЖД БО 001P-33R,RUB,Industrials,Россия
RU000A10B7T7,RU000A10B7T7,Кредитный поток 1.0,RUB,Other,Россия
RU000A10F504,RU000A10F504,ВЭБ.РФ ПБО-002Р-58,RUB,Financial,Россия
RU000A107C67,RU000A107C67,ГМК Норникель ЗО26-Д,RUB,Materials,Россия
SU26237RMFS6,RU000A1038Z7,ОФЗ 26237,RUB,Government,Россия
RU000A104Z48,RU000A104Z48,ВЭБ.РФ ПБО-002Р-33,RUB,Financial,Россия
RU000A10CC24,RU000A10CC24,РусГидро БО-002Р-07,RUB,Utilities,Россия
RU000A10BF48,RU000A10BF48,Яндекс 001Р-01,RUB,IT,Россия
RU000A106EM8,RU000A106EM8,Балтийский лизинг БО-П08,RUB,Financial,Россия
SU29024RMFS5,RU000A1066D5,ОФЗ 29024,RUB,Government,Россия
RU000A10B115,RU000A10B115,РЖД БО 001P-40R,RUB,Industrials,Россия
RU000A108JV4,RU000A108JV4,Газпром капитал БО-003Р-02,RUB,Energy,Россия
RU000A10BWC6,RU000A10BWC6,Группа Позитив 001Р-03,RUB,IT,Россия
RU000A10DWF5,RU000A10DWF5,Республика Башкортостан 24017,RUB,Municipal,Россия
RU000A107B35,RU000A107B35,Банк ВТБ Б-1-346,RUB,Financial,Россия
RU000A105A87,RU000A105A87,Совкомфлот ЗО-2028,RUB,Industrials,Россия
RU000A109NC4,RU000A109NC4,СФО ВТБ РКС Эталон 04,RUB,Financial,Россия
RU000A109JW0,RU000A109JW0,КАМАЗ БО-П12,RUB,Industrials,Россия
RU000A10B1X2,RU000A10B1X2,Селигдар 001Р-02,RUB,Materials,Россия
RU000A10CU55,RU000A10CU55,АФК Система БО 002Р-05,RUB,Financial,Россия
RU000A10AFX9,RU000A10AFX9,Металлоинвест 001P-09,RUB,Industrials,
RU000A10D3S6,RU000A10D3S6,Селигдар 001Р-06,RUB,Materials,Россия
RU000A10EA32,RU000A10EA32,Почта России 003P-04,RUB,Other,Россия
RU000A10B8R9,RU000A10B8R9,Инарктика 002Р-02,RUB,Consumer,Россия
RU000A10AXH5,RU000A10AXH5,Магнит БО-005Р-02,RUB,Consumer,Россия
RU000A10DSC0,RU000A10DSC0,Кредитный поток 4.1,RUB,Financial,Россия
RU000A10C6P6,RU000A10C6P6,Авто Финанс Банк БО-001Р-15,RUB,Financial,Россия
SU29020RMFS3,RU000A102BV4,ОФЗ 29020,RUB,Government,Россия
RU000A10EN11,RU000A10EN11,РЖД БО 001P-52R,RUB,Industrials,Россия
RU000A10DBM5,RU000A10DBM5,Кредитный поток 3.0,RUB,Other,Россия
SIBN6P2,RU000A10C6G5,Газпром Нефть 006Р-02R,RUB,Energy,
RU000A10B2T8,RU000A10B2T8,ВИС ФИНАНС БО-П08,RUB,Financial,Россия
